GUID клиента,Сегмент клиента,Описание,ai_type,ai_sentiment,ai_priority,ai_language,ai_summary,client_lat,client_lon,nearest_office,assigned_manager
fe44694a-10ed-f011-8406-0022481ba5f0,VIP,"Здравствуйте.
Покупка акций в приложении Freedom Broker
Вопрос: можно ли в приложении совершать покупки акций дробно (ко...",Консультация,Нейтральный,6.0,RU,Клиент интересуется возможностью дробной покупки акций в приложении Freedom Broker. Рекомендуется проверить функционал приложения и предоставить информацию о минимальных суммах инвестиций и доступности дробных покупок.,43.4524023,77.606243,Алматы,Менеджер 18
f79259e3-9cf2-f011-8406-0022481ba51f,Mass,Мои счета заблокированы. Срочно разблокируйте! Вы не имеете права блокировать мои счета без причины!!!,Жалоба,Негативный,9.0,RU,"Клиент требует разблокировки счетов, утверждая, что блокировка была произведена без причины. Рекомендуется проверить причину блокировки и связаться с клиентом для решения проблемы.",55.3697588,69.3669891,Петропавловск,Менеджер 30
da158b87-f1e9-f011-8406-0022481ba5f0,VIP,"Уточните плз за что именно и когда удерживается комиссия 50 долларов
за Обслуживание бездействующих счетов?",Консультация,Нейтральный,6.0,RU,Клиент запрашивает информацию о комиссии за бездействующие счета. Рекомендуется предоставить подробную информацию о комиссии в 50 долларов и условиях ее удержания.,49.9484438,82.6274791,Усть-Каменогорск,Менеджер 42
d8dcd8f8-b4eb-f011-8406-0022481ba388,Mass,"
Здравствуйте Вы даете доступ к ETF KSA или к прямой торговле на Tadawul? Это рынок Саудовской Аравии который упрощает д...",Консультация,Нейтральный,6.0,RU,Клиент интересуется доступом к ETF KSA или прямой торговле на Tadawul. Рекомендуется предоставить информацию о доступных финансовых инструментах и торговых площадках.,53.2882641,69.420051,Кокшетау,Менеджер 51
cc75c0da-e907-f111-8407-0022481bac13,Mass,"Выгодное предложение на сварочные многофункциональные агрегаты ET-Welding
Поможем подобрать оборудование для Ваших задач...",Консультация,Нейтральный,1.0,RU,"Запрос не относится к деятельности компании, реклама сторонних товаров.",53.2286444,63.6466377,Костанай,Менеджер 41
c577d3fd-dafc-f011-8406-0022481ba139,Mass,"добрый день.

я не могу войти в приложение.

я хотела изменить номер телефона со старого на новый, так как сменила.

ука...",Смена данных,Нейтральный,6.0,RU,Клиентке необходимо изменить номер телефона в системе. Рекомендуется проверить правильность ввода старого номера телефона и выполнить смену данных в соответствии с процедурой.,51.6769075,70.9912071,Астана,Менеджер 22
c27f8c40-1ff5-f011-8406-0022481ba15f,Mass,"Клиент хотел войти на свой счет, 
но смска на восстаовление пароля не приходит.
Посмотрите, пожалуйста, в чем дело.


С ...",Неработоспособность приложения,Нейтральный,6.0,RU,Клиент не получает смс для восстановления пароля. Рекомендуется проверить номер телефона и настройки безопасности.,50.5606688,72.5813736,Караганда,Менеджер 17
be5a4633-fe0a-f111-8407-0022481ba5f0,Mass,"Здравствуйте! Хочу уточнить, имеет ли Money Advisor право оказывать брокерские
услуги от имени Фридом Финанс? И имеют ли...",Консультация,Нейтральный,6.0,RU,Клиент запрашивает информацию о лицензии Money Advisor на оказание брокерских услуг от имени Фридом Финанс и наличии официального офиса в Казахстане. Рекомендуется предоставить официальную информацию о лицензиях и контактах компании.,52.2857573,76.9455035,Павлодар,Менеджер 6
bb54127b-4ef1-f011-8406-0022481ba654,Mass,"Тюльпаны - срезка. Выращено в Питомнике Вашутино. Специальные цены до 20 января! Отгрузка Химки. 

ТЮЛЬПАНЫ - СРЕЗКА ИЗ ...",Консультация,Нейтральный,1.0,RU,"Запрос не относится к деятельности компании, так как является рекламой тюльпанов и их продажей.",50.9840211,71.3584102,Астана,Менеджер 39
ba61a4e7-f0f1-f011-8406-0022481ba51f,VIP,"Смена номера
Напишите пожалуйста на what’s app или позвоните +7ХХХХХХХ33 Отправлено с iPhone
",Смена данных,Нейтральный,6.0,RU,Клиент запросил смену номера телефона. Рекомендуется связаться с клиентом для подтверждения новых данных.,43.2215152,76.8828808,Алматы,Менеджер 18
